date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-12-02,52117,24378,40432,19074,79296,77320,70019,78887,83965,72678,1624,8320,513,4163,771,6157,982,2710,323,6704,614,233,587,12,58,47,38
2020-12-03,29911,14557,86320,87464,70695,84585,80097,90908,62597,62255,8111,848,8385,4421,11,1424,1628,8012,3396,6452,442,747,795,47,76,6,17
2020-12-04,95549,57855,30983,43987,44682,38204,60811,61626,11315,52640,1247,1870,3209,7275,6903,4219,4375,4618,3690,4693,507,535,808,76,9,67,89
2020-12-05,59405,42480,9839,36404,27519,11568,26367,98348,26092,37134,8491,3260,9112,2059,2737,8555,4724,7999,6396,6143,621,690,571,74,38,1,24
2020-12-06,50553,35489,45561,95504,80468,22085,10754,92478,58050,3347,5432,5206,8469,8349,303,6579,268,1679,1116,4210,403,84,205,56,95,80,13
2020-12-07,9929,10730,74958,6374,59287,67385,78520,8209,3992,55858,3129,3543,8718,2282,3125,7997,7025,5592,4829,528,737,563,692,57,13,28,51
2020-12-08,6320,13198,27307,28417,52727,50740,46179,32250,69985,416,3443,4712,7907,4528,442,1176,9939,2531,8939,2237,836,868,873,92,26,2,19
2020-12-09,92041,40510,91382,9509,70748,60338,42146,85700,19773,75478,955,3283,9657,430,7992,910,1142,2055,1974,6030,190,887,303,19,54,86,38
2020-12-10,24835,15602,56474,81046,76014,33526,3511,6129,17835,75077,4362,7732,3780,7344,2790,1994,8133,1333,987,1725,647,520,371,91,33,18,1
2020-12-11,46551,98348,38049,24426,99948,81196,75953,21341,78983,20309,3766,7895,2059,8926,1970,6103,4286,3245,3479,888,202,948,921,40,47,74,83
2020-12-12,9945,82418,42350,86213,69986,94720,49505,56499,3826,48935,9489,7475,4286,2404,697,1212,2901,5487,1012,4501,956,471,474,18,78,26,29
2020-12-13,8528,69066,88086,18326,18299,12053,42049,25200,52540,17647,835,9033,7698,7990,5082,2270,5139,906,4787,6102,858,462,963,20,81,62,42
2020-12-14,45776,48389,51239,24474,76854,3031,62596,14960,96888,94319,4376,1937,2514,8133,1121,7162,2998,59,4489,261,436,166,477,22,98,71,47
2020-12-15,61681,8876,44011,7975,77941,47125,83041,27038,53949,90667,5397,9317,1272,1890,3339,3407,9944,2231,7501,459,97,602,681,82,53,34,20
2020-12-16,16363,7856,30685,50833,14626,79031,46952,69588,72740,83465,7784,6272,7499,5138,5697,3033,3016,7432,2128,3969,902,415,409,64,33,26,85
2020-12-17,12950,54592,56852,38897,90935,24295,92200,11261,73494,91199,9068,8545,5424,1897,5151,3660,6815,3395,3054,894,226,692,814,44,10,88,26
2020-12-18,27054,73286,6974,12931,24404,49647,56497,61913,3153,36897,4500,9337,2117,2950,3461,7,9004,9222,1448,9478,931,305,194,45,48,80,34
2020-12-19,20370,81636,66257,15846,37524,65416,17868,43257,54395,25613,6029,9061,2837,6131,6227,8708,6807,5745,1293,9913,560,924,945,17,77,58,34
